movie_id,title,genres,vote_average,vote_count
19995,Avatar,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']",7.2,11800
285,Pirates of the Caribbean: At World's End,"['Adventure', 'Fantasy', 'Action']",6.9,4500
206647,Spectre,"['Action', 'Adventure', 'Crime']",6.3,4466
49026,The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']",7.6,9106
49529,John Carter,"['Action', 'Adventure', 'ScienceFiction']",6.1,2124
559,Spider-Man 3,"['Fantasy', 'Action', 'Adventure']",5.9,3576
38757,Tangled,"['Animation', 'Family']",7.4,3330
99861,Avengers: Age of Ultron,"['Action', 'Adventure', 'ScienceFiction']",7.3,6767
767,Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy', 'Family']",7.4,5293
209112,Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Fantasy']",5.7,7004
1452,Superman Returns,"['Adventure', 'Fantasy', 'Action', 'ScienceFiction']",5.4,1400
10764,Quantum of Solace,"['Adventure', 'Action', 'Thriller', 'Crime']",6.1,2965
58,Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']",7,5246
57201,The Lone Ranger,"['Action', 'Adventure', 'Western']",5.9,2311
49521,Man of Steel,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']",6.5,6359
2454,The Chronicles of Narnia: Prince Caspian,"['Adventure', 'Family', 'Fantasy']",6.3,1630
24428,The Avengers,"['ScienceFiction', 'Action', 'Adventure']",7.4,11776
1865,Pirates of the Caribbean: On Stranger Tides,"['Adventure', 'Action', 'Fantasy']",6.4,4948
41154,Men in Black 3,"['Action', 'Comedy', 'ScienceFiction']",6.2,4160
122917,The Hobbit: The Battle of the Five Armies,"['Action', 'Adventure', 'Fantasy']",7.1,4760
1930,The Amazing Spider-Man,"['Action', 'Adventure', 'Fantasy']",6.5,6586
20662,Robin Hood,"['Action', 'Adventure']",6.2,1398
57158,The Hobbit: The Desolation of Smaug,"['Adventure', 'Fantasy']",7.6,4524
2268,The Golden Compass,"['Adventure', 'Fantasy']",5.8,1303
254,King Kong,"['Adventure', 'Drama', 'Action']",6.6,2337
597,Titanic,"['Drama', 'Romance', 'Thriller']",7.5,7562
271110,Captain America: Civil War,"['Adventure', 'Action', 'ScienceFiction']",7.1,7241
44833,Battleship,"['Thriller', 'Action', 'Adventure', 'ScienceFiction']",5.5,2114
135397,Jurassic World,"['Action', 'Adventure', 'ScienceFiction', 'Thriller']",6.5,8662
37724,Skyfall,"['Action', 'Adventure', 'Thriller']",6.9,7604
558,Spider-Man 2,"['Action', 'Adventure', 'Fantasy']",6.7,4321
68721,Iron Man 3,"['Action', 'Adventure', 'ScienceFiction']",6.8,8806
12155,Alice in Wonderland,"['Family', 'Fantasy', 'Adventure']",6.4,4645
36668,X-Men: The Last Stand,"['Adventure', 'Action', 'ScienceFiction', 'Thriller']",6.3,3525
62211,Monsters University,"['Animation', 'Family']",7,3528
8373,Transformers: Revenge of the Fallen,"['ScienceFiction', 'Action', 'Adventure']",6,3138
91314,Transformers: Age of Extinction,"['ScienceFiction', 'Action', 'Adventure']",5.8,3095
68728,Oz: The Great and Powerful,"['Fantasy', 'Adventure', 'Family']",5.7,3530
102382,The Amazing Spider-Man 2,"['Action', 'Adventure', 'Fantasy']",6.5,4179
20526,TRON: Legacy,"['Adventure', 'Action', 'ScienceFiction']",6.3,2841
49013,Cars 2,"['Animation', 'Family', 'Adventure', 'Comedy']",5.8,2033
44912,Green Lantern,"['Adventure', 'Action', 'Thriller', 'ScienceFiction']",5.1,2487
10193,Toy Story 3,"['Animation', 'Family', 'Comedy']",7.6,4597
534,Terminator Salvation,"['Action', 'ScienceFiction', 'Thriller']",5.9,2463
168259,Furious 7,['Action'],7.3,4176
72190,World War Z,"['Action', 'Drama', 'Horror', 'ScienceFiction', 'Thriller']",6.7,5560
127585,X-Men: Days of Future Past,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction']",7.5,6032
54138,Star Trek Into Darkness,"['Action', 'Adventure', 'ScienceFiction']",7.4,4418
81005,Jack the Giant Slayer,"['Action', 'Family', 'Fantasy']",5.5,2598
64682,The Great Gatsby,"['Drama', 'Romance']",7.3,3769
9543,Prince of Persia: The Sands of Time,"['Adventure', 'Fantasy', 'Action', 'Romance']",6.2,2317
68726,Pacific Rim,"['Action', 'ScienceFiction', 'Adventure']",6.7,4794
38356,Transformers: Dark of the Moon,"['Action', 'ScienceFiction', 'Adventure']",6.1,3299
217,Indiana Jones and the Kingdom of the Crystal Skull,"['Adventure', 'Action']",5.7,2495
105864,The Good Dinosaur,"['Adventure', 'Animation', 'Family']",6.6,1736
62177,Brave,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",6.7,4641
188927,Star Trek Beyond,"['Action', 'Adventure', 'ScienceFiction']",6.6,2568
10681,WALL·E,"['Animation', 'Family']",7.8,6296
5174,Rush Hour 3,"['Action', 'Comedy', 'Crime', 'Thriller']",6.1,783
14161,2012,"['Action', 'Adventure', 'ScienceFiction']",5.6,4903
17979,A Christmas Carol,"['Animation', 'Drama']",6.6,1095
76757,Jupiter Ascending,"['ScienceFiction', 'Fantasy', 'Action', 'Adventure']",5.2,2768
258489,The Legend of Tarzan,"['Action', 'Adventure']",5.5,2430
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['Adventure', 'Family', 'Fantasy']",6.7,2629
246655,X-Men: Apocalypse,['ScienceFiction'],6.4,4721
155,The Dark Knight,"['Drama', 'Action', 'Crime', 'Thriller']",8.2,12002
14160,Up,"['Animation', 'Comedy', 'Family', 'Adventure']",7.7,6870
15512,Monsters vs Aliens,"['Animation', 'Family', 'Adventure', 'ScienceFiction']",6,1423
1726,Iron Man,"['Action', 'ScienceFiction', 'Adventure']",7.4,8776
44826,Hugo,"['Adventure', 'Drama', 'Family']",7,2141
8487,Wild Wild West,"['Action', 'Adventure', 'Comedy', 'ScienceFiction', 'Western']",5.1,1020
1735,The Mummy: Tomb of the Dragon Emperor,"['Adventure', 'Action', 'Fantasy']",5.2,1387
297761,Suicide Squad,"['Action', 'Adventure', 'Crime', 'Fantasy', 'ScienceFiction']",5.9,7458
2698,Evan Almighty,"['Fantasy', 'Comedy', 'Family']",5.3,1151
137113,Edge of Tomorrow,"['Action', 'ScienceFiction']",7.6,4858
9804,Waterworld,"['Adventure', 'Action']",5.9,992
14869,G.I. Joe: The Rise of Cobra,"['Adventure', 'Action', 'Thriller', 'ScienceFiction']",5.6,1962
150540,Inside Out,"['Drama', 'Comedy', 'Animation', 'Family']",8,6560
278927,The Jungle Book,"['Family', 'Adventure', 'Drama', 'Fantasy']",6.7,2892
10138,Iron Man 2,"['Adventure', 'Action', 'ScienceFiction']",6.6,6849
58595,Snow White and the Huntsman,"['Adventure', 'Fantasy', 'Drama']",5.8,3118
102651,Maleficent,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",7,4496
119450,Dawn of the Planet of the Apes,"['ScienceFiction', 'Action', 'Drama', 'Thriller']",7.3,4410
79698,The Lovers,"['Action', 'Adventure', 'ScienceFiction', 'Romance']",4.8,34
64686,47 Ronin,"['Drama', 'Action', 'Adventure', 'Fantasy']",5.9,1326
100402,Captain America: The Winter Soldier,"['Action', 'Adventure', 'ScienceFiction']",7.6,5764
10192,Shrek Forever After,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",6,1959
158852,Tomorrowland,"['Adventure', 'Family', 'Mystery', 'ScienceFiction']",6.2,2846
177572,Big Hero 6,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",7.8,6135
82690,Wreck-It Ralph,"['Family', 'Animation', 'Comedy', 'Adventure']",7.1,4570
5255,The Polar Express,"['Adventure', 'Animation', 'Family', 'Fantasy']",6.4,1474
47933,Independence Day: Resurgence,"['Action', 'Adventure', 'ScienceFiction']",4.9,2491
10191,How to Train Your Dragon,"['Fantasy', 'Adventure', 'Animation', 'Family']",7.5,4227
296,Terminator 3: Rise of the Machines,"['Action', 'Thriller', 'ScienceFiction']",5.9,2143
118340,Guardians of the Galaxy,"['Action', 'ScienceFiction', 'Adventure']",7.9,9742
157336,Interstellar,"['Adventure', 'Drama', 'ScienceFiction']",8.1,10867
27205,Inception,"['Action', 'Thriller', 'ScienceFiction', 'Mystery', 'Adventure']",8.1,13752
315011,Shin Godzilla,"['Action', 'Adventure', 'Drama', 'Horror', 'ScienceFiction']",6.5,143
49051,The Hobbit: An Unexpected Journey,"['Adventure', 'Fantasy', 'Action']",7,8297
9799,The Fast and the Furious,"['Action', 'Crime', 'Thriller']",6.6,3428
4922,The Curious Case of Benjamin Button,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",7.3,3292
49538,X-Men: First Class,"['Action', 'ScienceFiction', 'Adventure']",7.1,5181
131634,The Hunger Games: Mockingjay - Part 2,"['Action', 'Adventure', 'ScienceFiction']",6.6,3984
27022,The Sorcerer's Apprentice,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']",5.8,1470
503,Poseidon,"['Adventure', 'Action', 'Drama', 'Thriller']",5.5,583
241259,Alice Through the Looking Glass,['Fantasy'],6.5,1725
810,Shrek the Third,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",6,2278
68735,Warcraft,"['Action', 'Adventure', 'Fantasy']",6.3,2268
87101,Terminator Genisys,"['ScienceFiction', 'Action', 'Thriller', 'Adventure']",5.8,3631
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,"['Adventure', 'Family', 'Fantasy']",6.2,1514
676,Pearl Harbor,"['History', 'Romance', 'War']",6.6,1791
1858,Transformers,"['Adventure', 'ScienceFiction', 'Action']",6.6,4040
1966,Alexander,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']",5.6,927
675,Harry Potter and the Order of the Phoenix,"['Adventure', 'Fantasy', 'Family', 'Mystery']",7.4,5494
674,Harry Potter and the Goblet of Fire,"['Adventure', 'Fantasy', 'Family']",7.5,5608
8960,Hancock,"['Fantasy', 'Action']",6.2,2961
6479,I Am Legend,"['Drama', 'Horror', 'Action', 'Thriller', 'ScienceFiction']",6.9,4853
118,Charlie and the Chocolate Factory,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6.7,3624
2062,Ratatouille,"['Animation', 'Comedy', 'Family', 'Fantasy']",7.5,4369
272,Batman Begins,"['Action', 'Crime', 'Drama']",7.5,7359
10527,Madagascar: Escape 2 Africa,"['Family', 'Animation']",6.2,1810
18360,Night at the Museum: Battle of the Smithsonian,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",5.9,1971
2080,X-Men Origins: Wolverine,"['Adventure', 'Action', 'Thriller', 'ScienceFiction']",6.2,4021
605,The Matrix Revolutions,"['Adventure', 'Action', 'Thriller', 'ScienceFiction']",6.4,3096
109445,Frozen,"['Animation', 'Adventure', 'Family']",7.3,5295
604,The Matrix Reloaded,"['Adventure', 'Action', 'Thriller', 'ScienceFiction']",6.7,3443
